Artist,Song,Year,album_id,Album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genres
Jason Aldean,Big Green Tractor,2009,1iAJGY7TFt1imCjD0npYaC,Wide Open,2009-04-07,0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.578,137.073,204200,4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Taylor Swift,White Horse,2009,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262,234516,4,['pop']
Rihanna,Disturbia,2009,3JSWZWeTHF4HDGt5Eozdy7,Good Girl Gone Bad: Reloaded,2008-06-02,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627,4,"['barbadian pop', 'pop', 'urban contemporary']"
Green Day,21 Guns,2009,1AHZd3C3S8m8fFrhFxyk79,21st Century Breakdown,2009-05-15,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093,4,"['modern rock', 'permanent wave', 'punk', 'rock']"
Soulja Boy Tell'em,Turn My Swag On,2009,2zwyBK8ea29FqWuY8IiRJu,iSouljaBoyTellem,2008-01-01,0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154,206333,4,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The-Dream,Rockin' That Thang,2009,3bCJJsiwcWXhrsTkZp4rlM,Love Vs Money,2009-01-01,0.674,0.616,8,-4.757,1,0.0432,0.118,0.0,0.289,0.63,77.968,221933,4,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Zac Brown Band,Chicken Fried,2009,08XFx1OZMZnRCh0JrKTIgT,The Foundation,2008-11-17,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,238147,4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Beyonce,Diva,2009,23Y5wdyP5byMFktZf8AcWU,I AM...SASHA FIERCE,2008-11-14,0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,200613,4,"['pop', 'r&b']"
Iyaz,Replay,2009,698AdfGuOthKXXvvHla9bf,Replay,2009-08-11,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307,4,"['dance pop', 'pop rap', 'post-teen pop']"
Brad Paisley,Then,2009,0GCQzPEkcFv8bR90sJf41x,American Saturday Night,2009-06-30,0.493,0.643,0,-5.19,1,0.0299,0.512,2.43e-05,0.209,0.3,144.704,321640,4,"['contemporary country', 'country', 'country road']"
Rob Thomas,Her Diamonds,2009,72aNaOna8AV0GZADXRbFlX,Cradlesong,2009-06-22,0.555,0.924,7,-4.93,1,0.0604,0.0159,0.0,0.075,0.865,87.606,280000,4,"['neo mellow', 'pop rock', 'post-grunge']"
Jesse McCartney Featuring Ludacris,How Do You Sleep?,2009,2tDCfKFy2YW9N0IwNSRdOJ,Departure - Recharged,2008,0.747,0.878,8,-3.533,1,0.0282,0.343,0.0,0.0872,0.557,106.004,208333,4,"['dance pop', 'pop', 'post-teen pop']"
Britney Spears,3,2009,2ti2e8J05nwg9ikcMjW8aS,The Essential Britney Spears,2014-07-29,0.701,0.72,5,-1.948,0,0.0475,0.0518,0.0,0.199,0.761,134.962,205533,4,"['dance pop', 'pop']"
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,2009,7MZzYkbHL9Tk3O6WeD4Z0Z,Relapse: Refill,2009-05-15,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,357707,5,[]
Justin Bieber,One Time,2009,1rG5TDs3jYh6OU753I54CI,My World,2009-01-01,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,215867,4,"['canadian pop', 'pop']"
Lady Antebellum,I Run To You,2009,3MHTGwjWJhfcc3yBnvo6yh,Lady Antebellum,2008-01-01,0.655,0.786,3,-4.451,1,0.034,0.163,5.99e-05,0.124,0.378,113.964,256013,4,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']"
Kelly Clarkson,I Do Not Hook Up,2009,4h8seeFAi6iYhslcWIxTSG,All I Ever Wanted,2009-03-06,0.502,0.938,9,-3.114,1,0.13,0.00098,0.0,0.318,0.35,144.077,200347,4,"['dance pop', 'pop', 'talent show']"
John Legend Featuring Andre 3000,Green Light,2009,6vKppYSQEobdSj5n8JyYG9,Green Light (Originally Performed by John Legend featuring André 3000),2010-02-02,0.807,0.683,7,-6.894,1,0.101,0.476,0.315,0.365,0.889,77.988,265387,4,"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
Billy Currington,People Are Crazy,2009,3H119N8NtcjSUxOhimk2FQ,Little Bit Of Everything,2008-01-01,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,231360,4,"['contemporary country', 'country', 'country road']"
Zac Brown Band,Whatever It Is,2009,08XFx1OZMZnRCh0JrKTIgT,The Foundation,2008-11-17,0.686,0.576,1,-6.633,1,0.0284,0.443,1.66e-05,0.212,0.72,83.969,208213,4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Kelly Clarkson,Already Gone,2009,4h8seeFAi6iYhslcWIxTSG,All I Ever Wanted,2009-03-06,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,281560,4,"['dance pop', 'pop', 'talent show']"
Kristinia DeBarge,Goodbye,2009,7f45cxgKjDpNLsvscwYvjS,Exposed (Deluxe Edition),2009-01-01,0.777,0.82,1,-3.211,0,0.0471,0.00505,2.6e-05,0.142,0.651,119.987,208133,4,[]
Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You),2009,2mOCHXcs1HBaL5GHzsgqMR,Big Big Love,2023-11-03,0.646,0.861,0,-6.752,1,0.0914,0.173,0.00797,0.141,0.57,129.947,203730,4,['reggae fusion']
Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,2009,5SZDZ2XBLlzE0e93pm5kee,M.O.B. Members of Byrdgang,2006-07-15,0.687,0.664,1,-10.238,1,0.377,0.103,0.0,0.412,0.511,120.27,234707,5,"['gangster rap', 'harlem hip hop', 'pop rap', 'trap']"
Maxwell,Pretty Wings,2009,1cXFSOdjxmS13cOTtnNQAo,BLACKsummers'night (2009),2009-07-07,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,310520,4,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
The Fray,Never Say Never,2009,3ibdlhMmbFPMYoWvwHCzI3,The Fray,2009-02-02,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,256613,4,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
Ke$ha,TiK ToK,2010,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4,"['dance pop', 'pop']"
Lady Antebellum,Need You Now,2010,3hnGcNi8oqGdwTm3CeniFA,Need You Now,2010-01-01,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']"
Train,"Hey, Soul Sister",2010,1CwXS6MAz8Wo7K4TzW9iuR,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
Katy Perry Featuring Snoop Dogg,California Gurls,2010,7jxcEQ74jrKSyEew1jbKS6,California Gurls ((Instrumental) Originally Performed by Katy Perry featuring Snoop Dogg),2010-06-15,0.882,0.526,0,-9.097,1,0.0745,0.00038,0.805,0.0942,0.383,124.98,238080,4,['pop']
Usher Featuring will.i.am,OMG,2010,6hlsH3FHfPC9GUmPW8rUw1,OMG ((Karaoke) Originally Performed by Usher featuring will.i.am),2010-05-18,0.772,0.65,4,-5.267,0,0.0493,0.00883,0.88,0.262,0.782,130.0,286147,4,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
B.o.B Featuring Hayley Williams,Airplanes,2010,1UqqoPw7SXz4GSwmDWTUUa,Airplanes (In the style of B.o.B featuring Hayley Williams of Paramore),2010-07-14,0.706,0.663,7,-10.274,1,0.0343,0.0522,0.845,0.102,0.479,93.004,182581,4,['art pop']
Eminem Featuring Rihanna,Love The Way You Lie,2010,7kexEwWBHJ6BHPjbhNKUeI,Love The Way You Lie ((Instrumental) Originally Performed by Eminem Featuring Rihanna),2010-09-21,0.576,0.521,7,-12.748,0,0.0392,0.244,0.853,0.294,0.772,173.982,271040,4,['flick hop']
Lady Gaga,Bad Romance,2010,4bEn4sNVdRCMSvFomDj9sF,¡2000 Rockstars Hits!,2023-09-12,0.701,0.936,0,-3.713,1,0.0382,0.00173,2.72e-05,0.334,0.798,118.983,261653,4,"['art pop', 'dance pop', 'pop']"
Taio Cruz,Dynamite,2010,159jpldDCgsgH6KGgjy63c,Rokstarr,2010-01-01,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4,"['dance pop', 'pop', 'pop rap']"
Taio Cruz Featuring Ludacris,Break Your Heart,2010,3kGAzy39wgDgHgGttcVcwt,Break Your Heart (Originally Performed by Taio Cruz featuring Ludacris),2010-04-06,0.619,0.87,8,-5.888,1,0.0372,0.000292,0.793,0.119,0.469,121.961,193853,4,"['dance pop', 'pop', 'pop rap']"
B.o.B Featuring Bruno Mars,Nothin' On You,2010,7xioktcLt004PnB9nqwBWz,Alpocalypse,2011-06-17,0.771,0.546,10,-11.745,1,0.0291,0.189,0.0,0.101,0.928,104.043,169720,4,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']"
Enrique Iglesias Featuring Pitbull,I Like It,2010,1X4qjMJVFvmVKbGMJDUydj,Nos Inspiren,2010-11-02,0.588,0.531,2,-8.546,1,0.0334,0.476,0.931,0.11,0.201,142.001,246172,4,"['dance pop', 'latin pop', 'mexican pop']"
Young Money Featuring Lloyd,BedRock,2010,2YGbbjXOcpjryCEjDuFTxC,BedRock (Originally Performed by Young Money featuring Lloyd),2010-02-02,0.935,0.913,0,-5.909,0,0.391,0.0202,0.705,0.0573,0.969,148.021,242000,4,"['dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jason Derulo,In My Head,2010,0aVJmVAeEx78nAA1rAKYf7,Jason Derulo,2010-02-24,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,199027,4,"['dance pop', 'pop']"
Rihanna,Rude Boy,2010,7uGmyYwDFJbSc1xs4hkEs2,Rated R,2009-11-20,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,222920,4,"['barbadian pop', 'pop', 'urban contemporary']"
Lady Gaga Featuring Beyonce,Telephone,2010,0xJTyuAOEyNAgd2Qrrxd6M,Telephone (Originally Performed by Lady GaGa Featuring Beyoncé),2010-01-12,0.802,0.518,5,-16.121,0,0.0528,0.0348,0.923,0.125,0.603,122.007,220773,4,"['art pop', 'dance pop', 'pop']"
Katy Perry,Teenage Dream,2010,2eQMC9nJE3f3hCNKlYYHL1,Teenage Dream,2010-01-01,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741,4,['pop']
Bruno Mars,Just The Way You Are,2010,1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,2010-10-05,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4,"['dance pop', 'pop']"
Mike Posner,Cooler Than Me,2010,2nnIlWcriIqcJtjduWcTRl,31 Minutes to Takeoff,2010-08-09,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,213293,4,"['dance pop', 'pop', 'pop dance', 'pop rap']"
The Black Eyed Peas,Imma Be,2010,3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,0.597,0.517,0,-6.963,1,0.366,0.179,0.0,0.307,0.413,92.035,257560,4,"['dance pop', 'pop', 'pop rap']"
Jay-Z + Alicia Keys,Empire State Of Mind,2010,2CUT0104gySOIvqwtXeFsX,The Blueprint 3,2009-09-08,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Usher Featuring Pitbull,DJ Got Us Fallin' In Love,2010,0QhwxYDUougJiVDtyN4Lhm,"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake",2013-06-24,0.639,0.907,7,-4.749,0,0.189,0.0444,0.0,0.114,0.699,120.954,214280,4,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
Travie McCoy Featuring Bruno Mars,Billionaire,2010,7kOivwbxDlUcVa4dCBCsWg,Lazarus,2010-06-07,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4,['pop rap']
Eminem,Not Afraid,2010,47BiFcV59TQi2s9SkBo2pb,Recovery,2010-06-18,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,248133,5,"['detroit hip hop', 'hip hop', 'rap']"
Iyaz,Replay,2010,698AdfGuOthKXXvvHla9bf,Replay,2009-08-11,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307,4,"['dance pop', 'pop rap', 'post-teen pop']"
David Guetta Featuring Akon,Sexy Chick,2010,7BSndDJGQOH1h3cmRFmDk0,Sexy Bitch (Sexy Chick) (Originally Performed by David Guetta featuring Akon),2010-02-09,0.766,0.698,11,-4.489,0,0.053,0.0802,0.864,0.133,0.6,119.994,205000,4,[]
The Script,Breakeven,2010,1r5J0N6Ep181K0i8YuTYgO,The Script,2008-07-14,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034,261427,4,"['celtic rock', 'pop']"
Ke$ha,Your Love Is My Drug,2010,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4,"['dance pop', 'pop']"
The Black Eyed Peas,I Gotta Feeling,2010,3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,289133,4,"['dance pop', 'pop', 'pop rap']"
Owl City,Fireflies,2010,3vf65wfk1EEjVhy6BjENsS,Ocean Eyes,2009-01-01,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,228347,4,"['indietronica', 'pop']"
Trey Songz Featuring Fabolous,Say Aah,2010,3nCsdvDgCHoQH6KEGwtXFG,Say Aah (Originally Performed by Trey Songz featuring Fabolous),2010-02-23,0.833,0.895,11,-8.648,0,0.101,0.0928,0.966,0.0442,0.807,93.006,207360,4,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Drake,Find Your Love,2010,6jlrjFR9mJV3jd1IPSplXU,Thank Me Later,2010-01-01,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038,208947,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Lady Gaga,Alejandro,2010,6DGZdMi124iOOih9GMlhN2,The Fame Monster (Deluxe Edition),2009-08-05,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,274213,4,"['art pop', 'dance pop', 'pop']"
Jason Derulo,Ridin' Solo,2010,0aVJmVAeEx78nAA1rAKYf7,Jason Derulo,2010-02-24,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747,4,"['dance pop', 'pop']"
Nelly,Just A Dream,2010,3mz9p3cA0Cl5oDUlpTxB0c,5.0,2010-11-12,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
Ludacris,How Low,2010,00kSgH9g6nYBQhjnRQFBew,Battle Of The Sexes (Deluxe),2010-01-01,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,201587,4,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Far*East Movement Featuring Cataracs & Dev,Like A G6,2010,73FKNXIspPcHZTXBWlJhS7,Bang It To The Curb,2012-01-01,0.811,0.84,7,-5.792,1,0.255,0.000492,0.00381,0.0647,0.517,99.876,186000,4,"['asian american hip hop', 'dance pop', 'pop rap']"
Timbaland Featuring Justin Timberlake,Carry Out,2010,5FK6borHO8QcztXhXCPn5H,Shock Value II,2009-01-01,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,232467,5,"['dance pop', 'pop', 'pop rap']"
Michael Buble,Haven't Met You Yet,2010,3MXDonOIzrIrCh0HvlACyj,Crazy Love,2009-10-06,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,244587,4,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
Flo Rida Featuring David Guetta,Club Can't Handle Me,2010,7e0hZ9yVNB7tIkvyIuMUVa,Club Can't Handle Me ((Instrumental) Originally Performed by Flo Rida featuring David Guetta),2010-12-07,0.544,0.639,0,-6.765,1,0.0282,0.000843,0.896,0.192,0.227,128.007,235080,4,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Jay Sean Featuring Lil Wayne,Down,2010,6dRQ75jRmBDa9XxepYvmWK,Drew's Famous # 1 Karaoke Hits: Men of R&B Vol. 2,2011-01-18,0.804,0.569,11,-6.165,0,0.0346,0.011,0.0391,0.104,0.899,132.0,232866,4,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
La Roux,Bulletproof,2010,3CcCqXsbyjCDDSA3omcGoy,La Roux,2009,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,205733,4,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop']"
Jason Derulo,Whatcha Say,2010,0aVJmVAeEx78nAA1rAKYf7,Jason Derulo,2010-02-24,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4,"['dance pop', 'pop']"
Justin Bieber Featuring Ludacris,Baby,2010,658NPcijTZkKLGODNwK5GF,Baby (Originally Performed by Justin Bieber featuring Ludacris),2010-03-02,0.449,0.485,3,-9.848,1,0.198,0.00486,0.825,0.0823,0.442,173.032,217387,5,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Adam Lambert,Whataya Want From Me,2010,0cUNjl7p6LYZJkKXJWzqP0,For Your Entertainment,2009-11-23,0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948,227320,4,"['dance pop', 'idol', 'pop', 'post-teen pop']"
Taylor Swift,Mine,2010,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,231707,4,['pop']
Rihanna,Only Girl (In The World),2010,5QG3tjE5L9F6O2vCAPph38,Loud (Japan Version),2010-01-01,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,235493,4,"['barbadian pop', 'pop', 'urban contemporary']"
Kris Allen,Live Like We're Dying,2010,5fM41TOegBBrRO7NhmFYvP,Kris Allen,2009-11-16,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011,212507,4,"['idol', 'neo mellow', 'viral pop']"
Rihanna Featuring Jeezy,Hard,2010,4Lpmh6hO5KnustNQBJ3mHA,Hard (Originally Performed by Rihanna featuring Young Jeezy),2009-12-21,0.58,0.774,10,-4.857,0,0.0364,0.000447,0.91,0.329,0.15,89.967,257093,4,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']"
Jay-Z + Mr. Hudson,Young Forever,2010,2CUT0104gySOIvqwtXeFsX,The Blueprint 3,2009-09-08,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,253907,4,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Ke$ha Featuring 3OH!3,Blah Blah Blah,2010,6X4SmXGgynaFugsmfYeL3I,Blah Blah Blah (Originally Performed by Ke$ha featuring 3OH!3),2010-04-13,0.79,0.803,9,-7.846,0,0.0389,0.0132,0.942,0.0705,0.383,120.002,171587,4,"['dance pop', 'pop']"
Trey Songz Featuring Nicki Minaj,Bottoms Up,2010,3sDoSYf2AKB2IegZmkISGD,"Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,242013,4,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,2010,7eFjAKIlEJtQkKA8k7bdqn,Do You Remember (Originally Performed by Jay Sean featuring Sean Paul & Lil Jon),2010-01-19,0.817,0.653,11,-4.637,1,0.0358,0.106,0.0865,0.0564,0.893,125.92,211840,4,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
OneRepublic,All The Right Moves,2010,2pLAOZiilrhOrTQNqrF8qr,Waking Up,2009-01-01,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,238000,4,"['piano rock', 'pop']"
Orianthi,According To You,2010,4tmHHhMp9HKkK5BzPQmNKU,Believe,2009-01-01,0.613,0.917,5,-2.549,1,0.054,0.0222,5.86e-06,0.105,0.538,131.007,200253,4,['candy pop']
Ludacris Featuring Nicki Minaj,My Chick Bad,2010,00kSgH9g6nYBQhjnRQFBew,Battle Of The Sexes (Deluxe),2010-01-01,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,216933,4,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Taylor Swift,You Belong With Me,2010,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4,['pop']
The Black Eyed Peas,Meet Me Halfway,2010,3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,284373,4,"['dance pop', 'pop', 'pop rap']"
Ke$ha,Take It Off,2010,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,215200,4,"['dance pop', 'pop']"
Drake,Over,2010,6jlrjFR9mJV3jd1IPSplXU,Thank Me Later,2010-01-01,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.123,0.45,99.643,233560,5,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Neon Trees,Animal,2010,7xpjpdislqMXOCw5xsDt4g,Habits,2010-01-01,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']"
Maroon 5,Misery,2010,2H4DCvJiZknLngsD2Yqf6k,Hands All Over (Deluxe),2010,0.704,0.81,4,-4.874,0,0.0425,0.000315,0.0,0.216,0.726,102.98,216200,4,['pop']
B.o.B Featuring Rivers Cuomo,Magic,2010,0K5PpJLfmOqedRGvrNMzRG,Magic ((Instrumental) Originally Performed by B.o.B featuring Rivers Cuomo),2010-10-19,0.811,0.543,4,-8.31,0,0.104,0.0154,0.881,0.143,0.776,165.007,196373,4,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']"
Lady Gaga,Paparazzi,2010,1jpUMnKpRlng1OJN7LJauV,The Fame,2008-01-01,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307,4,"['art pop', 'dance pop', 'pop']"
New Boyz Featuring Ray J,Tie Me Down,2010,5qEWm6hpJXpPkszEiCKKJK,Tie Me Down (Originally Performed by New Boyz featuring Ray J),2010-01-19,0.363,0.476,0,-10.552,0,0.0438,0.0132,0.564,0.312,0.32,100.434,178040,4,['pop rap']
Nicki Minaj,Your Love,2010,3LJhoYn4nnHmvPRO3ppbsl,Pink Friday,2010-01-01,0.422,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.63,245253,4,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Miley Cyrus,Party In The U.S.A.,2010,64aKkqxc3Ur2LYIKeS5osS,The Time Of Our Lives,2009-01-01,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4,['pop']
Chris Brown Featuring Tyga & Kevin McCall,Deuces,2010,4neocSMt40stXKK2B8Sy2G,Fan of A Fan The Album (Expanded Edition),2015-02-24,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,225227,4,[]
Britney Spears,3,2010,2ti2e8J05nwg9ikcMjW8aS,The Essential Britney Spears,2014-07-29,0.701,0.72,5,-1.948,0,0.0475,0.0518,0.0,0.199,0.761,134.962,205533,4,"['dance pop', 'pop']"
Shontelle,Impossible,2010,2keR8rEBTmRLpDKxWaoBDc,No Gravity,2010-01-01,0.6,0.624,8,-3.631,1,0.0334,0.385,0.0,0.125,0.529,90.036,226533,4,"['barbadian pop', 'dance pop', 'post-teen pop', 'talent show']"
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,2010,7MZzYkbHL9Tk3O6WeD4Z0Z,Relapse: Refill,2009-05-15,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,357707,5,[]
Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,2010,2DtgGfSzABQoLTB1EICqIV,Drew's Famous # 1 Karaoke Hits: Sing like Taylor Swift & Miley Cyrus,2010-12-21,0.535,0.519,0,-11.467,1,0.029,0.0279,0.962,0.239,0.225,128.009,260311,4,
3OH!3 Featuring Ke$ha,My First Kiss,2010,5dFZAjHjcpbPekUwzqvRJn,My First Kiss,2010-07-26,0.748,0.741,0,-6.783,1,0.0842,0.0203,6.31e-06,0.386,0.904,138.038,192502,4,"['dance pop', 'pop']"
Kelly Clarkson,Already Gone,2010,4h8seeFAi6iYhslcWIxTSG,All I Ever Wanted,2009-03-06,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,281560,4,"['dance pop', 'pop', 'talent show']"
The Black Eyed Peas,Rock That Body,2010,3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.991,268840,4,"['dance pop', 'pop', 'pop rap']"
